_id,beneficiary_name,beneficiary_address,project_name,project_description,total_amount,project_status,management_authority,amount,amount_kind,approval_date,beneficiary_city,beneficiary_country,beneficiary_country_code,beneficiary_county,beneficiary_id,beneficiary_nuts_code,beneficiary_nuts_region,beneficiary_person,beneficiary_postal_code,beneficiary_url,cci_program_code,cci_program_title,completion_date,currency,eu_cofinancing_amount,eu_cofinancing_amount_eligible,eu_cofinancing_rate,european_investment_bank,final_payment_date,first_payment_date,fund_acronym,fund_name,funding_period,funding_period_number,member_state_amount,operational_programme,priority_label,priority_number,project_id,source,starting_date,theme_code,theme_name,third_party_amount,total_amount_applied,total_amount_eligible
16,Austria Hotels Betriebs GmbH,"1010 Wien  1. Bezirk (Innere Stadt), Hessgasse 7","Neugestaltung und Modernisierung des Restaurants ""Bienenkorb""","Komplette Neugestaltung und Modernisierung des Restaurants ""Bienenkorb"" im Hotel Burgenland inkl. Küche, Wintergarten und Außenterrasse sowie die Neugestaltung des Innenhofs zu einem Gastgarten",314840.0,A,Wirtschaft Burgenland GmbH - WiBuG,314840.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
17,Austrotherm GmbH.,"7423 Pinkafeld, Am Kreuzweg 42",Erweiterung der XPS- Produktion mittels neuer XPS-Anlagen,"Bei der XPS-Anlage handelt es sich um eine komplette Produktionslinie von der Rohstofflagerung, Extrusion, Besäumung, Verpackung, Zwischenlagerung und Regenerierung. Dadurch kann die Umstellung zu 100 % auf umweltfreundliche, HFWK-freie XPS-Produkte (Dämmplatten) erfolgen.",1021458.0,A,Wirtschaft Burgenland GmbH - WiBuG,1021458.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
18,Austrotherm GmbH.,"7423 Pinkafeld, Am Kreuzweg 42",Installation einer Produktionsanlage zur Produktion von EPS Platten,Für weiterentwickelte besser wärmdämmende graue EPS Platten ist eine neue Produktionsanlage geplant. Die Anlage stellt eine Erweiterung der EPS-Produktion in Pinkafeld um 300.000 m3 dar. Dabei ist eine komplette Produktionslinie geplant mit 4 neuen Technologien.,556281.25,A,Wirtschaft Burgenland GmbH - WiBuG,556281.25,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
19,Austrotherm GmbH.,"7423 Pinkafeld, Am Kreuzweg 42",Anschaffung einer Dämmstoffproduktionsanlag e,Die neue Dämmstoffproduktionsanlage wird in Form einer Blockschaumanlage zur Verbesserung der wärmedämmenden Eigenschaften von neuen Schaumdämmstoffen errichtet. Es soll an baulichen Maßnahmen eine Halle und eine Produktionslinie mit Schneideanalagen errichtet werden. Durch die geplante Anlage soll der Produktionsstandort Pinkafeld mit neuen Technologien und know how weiter abgesichert werden.,574346.58,A,Wirtschaft Burgenland GmbH - WiBuG,574346.58,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
20,Austrotherm GmbH.,"7423 Pinkafeld, Am Kreuzweg 42",Phenolharzschaumanwend ungen,"Entwicklung und Investitionen zur Produktion von speziellen Dämmplatten (wie Dachdämmplatten, Fußbodenplatten etc. aus Phenolharzschaum)",435892.74,A,Wirtschaft Burgenland GmbH - WiBuG,435892.74,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
21,automate-it.cc GesmbH,"7540 Güssing, Europastraße 1",Hybrid Cloud Enablement - as a Service,"automate-it entwickelt die weltweit erste Lösung um in privaten und öffentlichen Cloud Umgebungen parallel Server, Services und Applikationen zu provisionieren. Die Innovation besteht darin, dass die Automatisierungsplattform von automate-it betrieben wird und als Software as a Service Lösung zur Verfügung steht. Die Kombination der ""Hybrid Cloud"" mit einer Automatisierungslösung aus der Cloud ist einzigartig. Kunden können effizient und kostengünstig Cloud Technologien im eigenen Unternehmen und in öffentlichen Clouds nutzen ohne groß in die entsprechenden Plattformen investieren zu müssen.",43503.6,A,Wirtschaft Burgenland GmbH - WiBuG,43503.6,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
22,automate-it.cc GmbH,"7540 Güssing, Europastraße 1",Cloud Computing Plattform Applikationsentwicklung,"automate-it.cc GmbH (a-it) verändert die Art und Weise wie IT-Services auf Serverbasis erbracht werden. Dynamische Anforderungen aus dem Titel ""Cloud Computing"" und zunehmder Kostendruck bzw. verstärkte Qualitätsinitiativen forcieren zukünftig die Automatisierung der IT-Serviceerbringung. a-it bietet seinen Kunden die Vorteile einer Automatisierung der IT- Serviceerbringung auf Basis einer zentralen, von a-it entwickelten und betriebenen Automatisierungsplattform - als Service an.",124202.25,A,Wirtschaft Burgenland GmbH - WiBuG,124202.25,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
23,Avance Hotel GmbH & Co KG,"7431 Bad Tatzmannsdorf, Am Golfplatz 4","Erweiterung und Ausbau des ""Reiter's Avance Hotel""","Erweiterung und Ausbau des ""Reiters's Avance Hotel"" durch Zubau von neuen Kinderattraktionen, Erweiterung der Außensauna und Ruheräume, Gestaltung von Familienzimmern, Schaffung von Wirtschaftsräumen und neue Zufahrt samt Gästeparkplätzen und Erweiterung Kinderrestaurant einschließlich Schauküche",1626000.0,A,Wirtschaft Burgenland GmbH - WiBuG,1626000.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
24,"Aviation Academy Austria, Österreichische Luftfahrttraining GmbH","7100 Neusiedl am See, Ludwig Boltzmann Straße 2",Erweiterung des Simulatorzentrums in Neusiedl,Anschaffung eines 2. Simulators vom Type Citation XLS zur Erweiterung des Simulatorzentrums. Dieser Simulator ist vor allem für Kunden der Bedarfsflugbranche und Executive Aviation vorgesehen,1615440.73,A,Wirtschaft Burgenland GmbH - WiBuG,1615440.73,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
25,Bäckerei Ringhofer GmbH,"7423 Pinkafeld, Bruckgasse 15",Konzeptberatung,Erstellung und Umsetzung des Eröffnungswerbeplans (Planung Kostenerhebung für die Filialeröffnung),900.0,A,Wirtschaft Burgenland GmbH - WiBuG,900.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
26,Bad Tatzmannsdorf Thermal- und Freizeitzentrum GmbH & Co KG,"7431 Bad Tatzmannsdorf, Thermenplatz 1",Erweiterung und Ausbau der Burgenland-Therme,"Erweiterung und Ausbau der Burgenland-Therme durch Erweiterung der In- und Outdoor-Bereiche, Neubau eines Thermenrestaurants, Ausbau Saunabereich, Schaffung neuer Freizeit- uund Wellnesseinrichtungen, Erweiterung und Neugestaltung der Außenanlangen",2967200.0,A,Wirtschaft Burgenland GmbH - WiBuG,2967200.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
27,Bad Tatzmannsdorf Thermal- und Freizeitzentrum GmbH & Co KG,"7431 Bad Tatzmannsdorf, Thermenplatz 1",Erweiterung und Ausbau des 4*-Hotel Avita,"Erweiterung und Ausbau des Hotel Avita durch Zubau eines Bettentraktes mit 24 Zimmer, Schaffung eines hoteleigenen Spa-Bereiches, Adaptierung Restaurantbereich und Vergrößerung/Adaptierung Verwaltungsbereich",1768800.0,A,Wirtschaft Burgenland GmbH - WiBuG,1768800.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
55,Brand-Ex Feuerschutz GmbH,"7033 Pöttsching, Wiener Neustädter Straße 86",Umsetzungsberatung,Zertifizierung des Qualitätsmanagementsystems ISO 9001:2000,1609.64,A,Wirtschaft Burgenland GmbH - WiBuG,1609.64,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
274,MINERALWASSER - Vertriebsgesellschaft m.b.H. und Starzinger GmbH & Co KG,"4890 Frankenmarkt, Bahnhofstraße 1",Ankauf einer neuen PET- Abfüllanlage samt Zubehör,Ankauf einer neuen PET-Abfüllanlage samt Zubehör,770034.93,A,ERP-Fonds,770034.93,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
28,Bader Christian DI (FH),"7201 Neudörfl, Seeanlage Straße V,5",AppControl,"AppControl wurde entwickelt, vermarktet und vertrieben, um Betreibern von Funkfernsteuerungen neue, moderne Technologienutzung zu ermöglichen. Es handelt sich dabei in diesem Bereich um einen innovativen Generationssprung, der darin besteht, einerseits dem Bediener eine völlig neue Möglichkeit der Bedienung anzubieten und andererseits durch die Integration von Bluetooth Low Energie eine einfache, benutzerfreundliche Einbindung der global vorhandenen Systeme. Offeriert wird eine Komplettlösung, wo alle zurzeit am Markt befindlichen Bluetooth Schnittstellen angesprochen werden können. Unter Einbindung neuester technologischer Elektronikbausteine wird AppControl alle Möglichkeiten für die Verbindungen Bluetooth 2.0 bis Bluetooth Low Energie 4.0 nützen.",9586.5,A,Wirtschaft Burgenland GmbH - WiBuG,9586.5,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
29,Bader-Trucks GmbH,"7400 Oberwart, Wiener Straße 95",QM-Beratung,Umweltmanagement,2575.0,A,Wirtschaft Burgenland GmbH - WiBuG,2575.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
30,Bader-Trucks GmbH,"7400 Oberwart, Wiener Straße 95",QM-Beratung,Unterstützung bei der Einführung eines Qualitätmanagementsystems gem. ISO 9001:2008,967.97,A,Wirtschaft Burgenland GmbH - WiBuG,967.97,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
31,Balance Resort AG,"7551 Stegersbach, Panoramaweg 1",Erweiterung und Ausbau Balance Resort (1. Ausbaustufe),"Erweiterung und Ausbau des Balance Resorts durch Erweiterung des Restaurant- und Küchenbereichs, Errichtung und Einrichtung von zusätzlichen Seminar- /Tagungsräumen und Personalräumen, Erweiterung des Wellnessbereichs und Umgestaltung der Hotelzufahrt sowie Gestaltung der Parkplätze",606000.0,A,Wirtschaft Burgenland GmbH - WiBuG,606000.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
32,Bau- & Energietechnik GmbH,"7412 Wolfau, Wolfau 507/5",Konzeptberatung,Strategieentwicklung & Marketing,995.31,A,Wirtschaft Burgenland GmbH - WiBuG,995.31,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
33,Baustoffgroßhandlung Michael Koch GmbH,"7210 Mattersburg, Bauweltstraße 7",Thermische Gebäudesanierung,"Das Dach der Ausstellungsräumlichkeiten und des Fachmarktes wird mit 22 cm Mineralwolle gedämmt und weist dadurch nach der Sanierung einen U-Wert von 0,17 W/m2K auf. Zudem werden neue Dachoberlichter installiert. Die bestehenden Fenster und Portale werden ausgetauscht und durch Fenster und Portale mit Mehrscheiben - Isolierverglasung (U-Wert 0,77 W/m2K) ersetzt. Die Außenmauern im Bereich der Ausstellungsräumlichkeiten sowie des bestehenden Bürotraktes werden oberflächensaniert und erhalten eine Wärmedämmfassade aus 14 cm Steinopor und ereichen somit einen U-Wert von 0,24 W/m2K. Durch die geplanten Maßnahmen kann der spezifische Heizwärmebedarf des Gebäudes von derzeit 16,69 kWh/(m3a) auf 11,53 kWh/(m3a) gesenkt werden. Der Heizwärmebedarf sinkt absolut von 320.027 kWh/a auf 218.111 kWh/a. Dies entspricht einer CO2 Reduktion von 43,67 t pro Jahr.",110069.0,A,Kommunalkredit Public Consulting GmbH,110069.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
34,Bauunternehmung Ing. Andreas Waha Gesellschaft m.b.H.,"7062 St. Margarethen im Burgenland, Hauptstraße 108",Erschließung des westungarischen Marktes,Zielsetzung ist die Erschließung des westungarischen Marktes. Es werden Messen in Budapest und Györ besucht und die dafür notwendigen Publikationen erstellt.,1765.0,A,Wirtschaft Burgenland GmbH - WiBuG,1765.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
35,BECK Roland,"7122 Gols, Birkenplatz 1",Umsetzungsberatung,"Umsetzung von Marketingmaßnahmen:Evaluierungsgespräche mit potentiellen Gästen, Optimierung der Qualität in der Küche (Gourmetkarte, Verbesserung der Weinkarte), Erstellung von Werbefotos und Werbetexten, Beratung zum Einsatz von Werbemittel",1740.0,A,Wirtschaft Burgenland GmbH - WiBuG,1740.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
36,BECK Roland,"7122 Gols, Birkenplatz 1",Konzeptberatung,Beratung zu Marketingmaßnahmen und Marketingstrategien für das Landhotel Birkenhof,900.0,A,Wirtschaft Burgenland GmbH - WiBuG,900.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
37,Beck Roland,"7122 Gols, Birkenplatz 1",Um- und Ausbau des Landhotels,"Um- und Ausbau des Landhotels ""Birkenhof"" durch Zubau eines Wintergartens, Schaffung eines zusätzlichen Seminarraumes, Erweiterung und Neugestaltung des Rezeptions- und Empfangsbereiches, Ausbau eines Buffetbereiches, Neubau der Sanitäranlagen, Einrichtung eines Fitnessraumes und eines Kinderspielzimmers sowie Gestaltung der Außenanlagen",221500.0,A,Wirtschaft Burgenland GmbH - WiBuG,221500.0,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
38,BECOM  Electronics GmbH,"7442 Hochstraß, Technikerstraße 1",LED Control,"Neues System für LED Beleuchtungskonzepte im Bereich von Beleuchtungsmitteln für Straßen, in Autos (zB Blinker, Stand-, Seiten-, Begrenzungslichtern,...) und für Anzeigetafeln. Es werden die kompletten modularen Ansteuermodule entwickelt mit energieoptimierten Wandlern in mehreren Leistungsstufen, microController, Busansteuerung und Stromversorgungsmodule für die unterschiedlichen Eingangsspannungen.",54351.25,A,Wirtschaft Burgenland GmbH - WiBuG,54351.25,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
39,BECOM  Electronics GmbH,"7442 Hochstraß, Technikerstraße 1",Optische LED- Positionierungseinrichtung,"Um die benötigte Lichtstärke für LED Autoscheinwerfer zu erreichen, werden auf Trägermodulen vom Hersteller mehrere LED Chips nebeneinander angebracht. Aufgrund der Fertigungstoleranzen bei der Bestückung der Module ergeben sich Streuungen bei der Abstrahlcharakteristik, die eine ungleichmäßige Ausleuchtung bewirken. Um dies auszugleichen wird dieses neuartige System zur optimalen Ausleuchtung entwickelt. Es müssen die Positionen der einzelnen LED's auf dem Multi Chip LED Modul vermessen werden zur Bestimmung des optimalen Fokalpunktes. In diesem geplanten Projekt wird die optische Vermessung der Anordnung der LED Chips auf dem Modul mittels eines Videosystems vorgenommen. Mit einer neuartigen Justageeinrichtung wird das Modul in Relation zum Träger zB Kühlkörper so ausgerichtet, die Exemplarsteuerungen ausgeglichen werden. In der Justagevorrichtung werden sowohl der Träger als auch das LED Modul getrennt eingespannt und gegeneinander mittels feingängiger Justageschrauben entsprechend",51887.46,A,Wirtschaft Burgenland GmbH - WiBuG,51887.46,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
72,CNC Mechatronik Metall- und Fertigungs-Technik GMBH,"7531 Kemeten, Steinbrückl 5",Neuerrichtung eines Betriebsstandortes,Errichtung eines neuen Produktionsgebäudes und umfangreiche Erweiterungen im Bereich der Produktionsmaschinen und der peripheren Einrichtungen.,650687.17,A,ERP-Fonds,650687.17,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
40,BECOM Electronics GmbH,"7442 Hochstraß, Technikerstraße 1",Neuentwicklung eines pneumatischen Massagesitzes für PKWs,"Neuentwicklung eines pneumatischen Massagesystems, das vorzugsweise in die Fahrersitze von Personenautos integriert wird. In die Rückenlehne sind 2 große Massagekissen im Lendenbereich und 8 kleine Massagekissen über den Rücken verteilt angeordnet, die von einer dezentralen elektronischen Steuerung im Sitz angesteuert werden. Die Entwicklung und Produktion der Steuerung erfolgt bei der Firma Becom im Bgld. Die Steuerung wird von der zentralen Elektronik des Fahrzeugs über ein LIN (Local Interconnect Network) aktiviert und das fahrerspezifische Massageprogramm in der Sitzsteuerung aufgerufen. Von der Steuerungselektronik wird der absolute Luftdruck in den Kissen detektiert und dementsprechend werden die Luftpumpe sowie die Magnetventile je Massagekissen angesteuert.",51951.68,A,Wirtschaft Burgenland GmbH - WiBuG,51951.68,total_amount,,,ÖSTERREICH,AT,,,AT11,Burgenland,,,,2007AT161PO001,,,,,,,,,,ERDF,,2007-2013,,,,,,,,,,,,,
